QUEST_20150317_000001	クエスト修正が必要なユーザーを選択してください。
QUEST_20150317_000273	暴走する世界樹は地面を貫いて飛び出し、大いなる災いをこの地にもたらします。{nl}ええ。あなたの時代で神樹と呼ばれている木こそ世界樹なのです。{nl}
QUEST_20150317_000274	災いはそれだけで終わりません。{nl}もう根の先に付いた結晶を目にしたと思います。{nl}
QUEST_20150317_000275	あれは魔族が世界樹の生長を促進するために、霊魂を飲み込めるよう変化させたものです。{nl}あれのせいで多くのモンスターが新たに誕生し、さらに凶暴化するでしょう。{nl}
QUEST_20150317_000276	私が全てを知った時には、その災いに備える力すら残っていませんでした。{nl}ジャカリエルに伝えた首都移転の予言も、魔族の姦計により忘れられてしまったのです。{nl}
QUEST_20150317_000277	世界樹は今もどんどん成長しています。{nl}そして…私の力だけではどうにもできない状況に陥ってしまいました。{nl}
QUEST_20150317_000278	ですが、すべての状況が私の見た通りにならないと信じています。{nl}その変化の種があなたであるということも確信しているのです。{nl}
QUEST_20150317_000279	長い伝言はこれくらいにして…{nl}次の啓示は賢者メイバーンに託しました。{nl}大聖堂であなたが尋ねて来るその日を静かに待っているでしょう。{nl}
QUEST_20150317_000280	女神ガビヤ
QUEST_20150317_000281	感謝します、救済者よ。{nl}ライマの言う通りにすべきだったのに…あの日のことが本当に悔やまれます。{nl}
QUEST_20150317_000282	あなたのおかげで力を取り戻すことができましたが、これは始まりに過ぎません。{nl}私はあなたを守るために、偽りの啓示で他の魔族を騙すつもりですが…。{nl}
QUEST_20150317_000283	その前に、あなたに伝えたいことがあります。{nl}ライマからの伝言です。
QUEST_20150317_000284	競売師
QUEST_20150317_000285	良い物ほど手に入れるのは簡単ではありません。{nl}クラペダの外にいるモンスターのせいで、商人たちは身動きが取れなくなっているんですよ。{nl}
QUEST_20150317_000286	競売が始まりました！{nl}今回ご紹介する商品は、私たちが苦労して手に入れた物なんですよ。{nl}さあさあ、入札を始めますよ！
QUEST_20150317_000287	シャウレイ西の森です。{nl}住民たちが用意してくれた供え物なので、それくらいの慈悲はあっても良いと思いませんか？
QUEST_20150317_000288	ソーマタージュマスターに言われて来たんですね。{nl}ならば、一つ問題を出しましょう。フェディミアン中央にある女神像はどの女神の石像でしょうか？
QUEST_20150317_000289	クイズよ、よく聞いて！{nl}偉大なる伝説のアーチャー リディア・シャッフェンが女神の啓示を受けるために作った組織の名前は？
QUEST_20150317_000290	水晶鉱山第1鉱区2階にある本は読みましたか？{nl}水晶鉱山を壊してミルティスを封印したものの脱出できなかった罪人の名は？
QUEST_20150317_000291	やるよ。もうそんなの要らないからさ…。うぅっ…。{nl}この酒を全部飲んだら、また兄貴を探しに行かなきゃ…。エヘヘへ…。{nl}
QUEST_20150317_000292	は？兄貴が死んだ？{nl}何バカなこと言ってんだ？{nl}とっとと失せちまえ…！クッ…ゲフッ…。
QUEST_20150317_000293	感性的なフクロウ
QUEST_20150317_000294	ホウホウ…フクロウが…。
QUEST_20150317_000295	ホウホウ…フクロウが…。ああ、悲しすぎます…。ホウホウ…寒くて一人で泣くなんて…。
QUEST_20150317_000296	正解です！よくできました！
QUEST_20150317_000297	おや…残念です。また挑戦してくださいね。
QUEST_20150317_000298	おっ！すごい！正解よ！
QUEST_20150317_000299	違うわ。もう一度考えてみて。
QUEST_20150317_000300	正解。よくできました！
QUEST_20150317_000301	ハズレです。{nl}残念ですけど、また挑戦してみませんか？
QUEST_20150317_000302	階段を上った先は、フェディミアンの象徴である巨大女神像のある神聖な場所です。{nl}信徒は身だしなみを整えて静かに祈りを捧げてください。
QUEST_20150317_000303	フェディミアンは4年前のあの日にメチャクチャになってしまった…。{nl}とても美しくて活気にあふれた街だったんじゃがな。{nl}それでも中央の女神像がある神聖地区が残ったことが救いじゃよ。
QUEST_20150317_000304	フェディミアンは元々商業地区と神聖地区の二つに分かれておった。{nl}しかし、4年前の例の日に商業地区は完全に崩壊してしまったんじゃ。{nl}
QUEST_20150317_000305	それでもこの神聖地区が残ったのは女神のおかげなんじゃろう。
QUEST_20150317_000306	わしゃこのフェディミアンの平凡な老人じゃよ。{nl}もっと詳しく知りたいなら、美味いイモ饅頭でも持って来るんじゃな。
QUEST_20150317_000307	というのも、フェディミアンの食べ物は本当に不味くてかなわん。{nl}わしゃ死ぬ前に美味いもんを食えるんじゃろうか…？
QUEST_20150317_000308	フェディミアン神聖地区です。女神のご加護がありますように。
QUEST_20150317_000309	現在、商業地区は再建のために閉鎖されています。{nl}大変危険ですので立ち入りはご遠慮ください。
QUEST_20150317_000310	フェディミアン神聖地区は参拝客の皆さまを歓迎いたします。
QUEST_20150317_000311	積極的に協力してくれて、ありがとう。俺たちもまたここで調査を続けるつもりだ。{nl}君も頑張ってくれ！
QUEST_20150317_000312	もう終わったの？なかなかやるね。さすが啓示者だ。
QUEST_20150317_000313	厚意が続けばそれを権利だと錯覚するもんだ。{nl}もしかしたら、俺達は女神に頼り過ぎたのが間違いだったのかもしれないな。
QUEST_20150317_000314	兵士ピート
QUEST_20150317_000315	啓示者様ですか？{nl}おお、噂では聞いていましたが、こうしてお会いできて光栄です！
QUEST_20150317_000316	兵士ブラン
QUEST_20150317_000317	先頭に立って敵を蹴散らすのが僕の夢だったんです！{nl}それも、子供のころからの…。
QUEST_20150317_000318	訓練兵モルト
QUEST_20150317_000319	啓示者様があんなに頑張ってくれたのに、モンスターは全然減りませんね…。
QUEST_20150317_000320	指揮官ライモンダス
QUEST_20150317_000321	自称啓示者が毎日何人も現れるんだが…{nl}君もその一人か？
QUEST_20150317_000322	啓示者を数多く見てきたが、君は認めざるを得んな。{nl}ご苦労だった。また会うことがあるだろう。
QUEST_20150317_000323	薬草師
QUEST_20150317_000324	私に何か用でも？
QUEST_20150317_000325	目に見える物が全てじゃありませんよ。へへへ。
QUEST_20150317_000326	教官ニッカー
QUEST_20150317_000327	一人のだらけた兵士が全部隊員を危険にさらす。{nl}だからこそ、時には残酷なほどの厳しさが必要なのだ。
QUEST_20150317_000328	もう認めざるを得んな。女神の夢を追う啓示者か。{nl}決して楽な道ではないだろうが、頑張ってくれると信じているぞ。
QUEST_20150317_000329	啓示者？ねぎらいはしても、信じられるかどうかは…。
QUEST_20150317_000330	民間軍職員
QUEST_20150317_000331	混乱した世の中で生き残るためには、卑怯な手を使わざるを得ない時があります。{nl}そんなに悪いと思わなくても良いのでは？
QUEST_20150317_000332	イライラしたら身体を動かすといいですよ。{nl}だから私も軍人になったんです。
QUEST_20150317_000333	幼いころから正義の勇者の話を聞いて育ちましたが、単なる童話だと思っていました…。{nl}でも今は、本当にそういうことがあるのかもしれないと思っています。
QUEST_20150317_000334	ヨーク
QUEST_20150317_000335	女神が我らを見捨てたとしても、啓示者様がいらっしゃれば心強いです。
QUEST_20150317_000336	故郷に帰りたいんです…。{nl}補給品を首を長くして待ち続けるのも辛くて…。{nl}いつまで続くかわからないこの状況にももう疲れましたよ。ハァ…。
